"ASSET ID","ALT ASSET ID","PRODUCT NAME","ASSET ALIAS","INSTALLATION","SUPPORTED BY","PRODUCT TYPE","INSTALLED CODE","LOCATION NAME","INSTANCE ID","SOLUTION ID","LOCATION ID","INSTALL BASE AGE","CONNECTIVITY STATUS","LAST ALERT & TELEMETRY DELIVERY","CONNECTION TYPE","CONNECTION AGE","SERVICES STATUS","CONTRACT TYPE","CONTRACT END DATE","SALES ORDER#","END OF STANDARD SUPPORT","CITY","COUNTRY"
"24333188",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333190",,"Data Protection Search",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333192",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333194",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333196",,"RecoverPoint for Virtual Machines",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333198",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333200",,"Data Protection Central",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333202",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333204",,"Avamar Virtual Edition",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
"24333210",,"Data Protection Advisor",,"Installed","Dell Technologies","SOFTWARE",,"CRDB BANK PLC","",,"27601739189394","5yr, 8mo, 21d","Not Eligible",,"",,"Active","ProSupport For Software","February 01, 2026","310905167",,"DAR ES SALAAM","Tanzania, United Republic of"
