"ASSET ID","ALT ASSET ID","PRODUCT NAME","ASSET ALIAS","INSTALLATION","SUPPORTED BY","CONNECTIVITY STATUS","LAST ALERT & TELEMETRY DELIVERY","CONNECTION TYPE","CONNECTION AGE","CLUSTER ID","LOCATION ID","CLUSTER NAME","HEALTH SCORE","LOCATION NAME","PRODUCT TYPE","INSTANCE ID","SOLUTION ID","INSTALL BASE AGE","SERVICES STATUS","CONTRACT TYPE","CONTRACT END DATE","SALES ORDER#","INSTALLED CODE","END OF STANDARD SUPPORT","CITY","COUNTRY"
"DE600200613759","9WB1033","VxRail E560F",,"Installed","Dell Technologies","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","525e9a0a-ac98-b7c0-e100-fa623f00c0ca","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343400",,"September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613760","BWB1033","VxRail E560F",,"Installed","Dell Technologies","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","525e9a0a-ac98-b7c0-e100-fa623f00c0ca","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343400",,"September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613761","CWB1033","VxRail E560F",,"Installed","Dell Technologies","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Virtual Appliance v5","< 1d","525e9a0a-ac98-b7c0-e100-fa623f00c0ca","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343400",,"September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613765","5WB1033","VxRail E560F",,"Installed","Dell Technologies","Connected","2025-10-21 03:42:45","Secure Connect Gateway - Appliance v5","< 1d","525e9a0a-ac98-b7c0-e100-fa623f00c0ca","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343404",,"September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613766","4WB1033","VxRail E560F",,"Installed","Dell Technologies","Not Connected","2023-03-07 06:13:26","OTHER","2yr, 7mo, 14d","5218719d-8e51-fa97-c291-77e18f2da783","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343404","7.0.320-27377804","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613768","7WB1033","VxRail E560F",,"Installed","Dell Technologies","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Virtual Appliance v3","2yr, 7mo, 14d","5218719d-8e51-fa97-c291-77e18f2da783","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343404","7.0.320-27377804","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613772","8WB1033","VxRail E560F",,"Installed","Dell Technologies","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Virtual Appliance v3","2yr, 7mo, 14d","5218719d-8e51-fa97-c291-77e18f2da783","27601739189394","guid",,"CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343400","7.0.320-27377804","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"DE600200613776","6WB1033","VxRail E560F",,"Installed","Dell Technologies","Not Connected","2023-03-07 06:13:26","Secure Connect Gateway - Appliance v5","2yr, 7mo, 14d","5218719d-8e51-fa97-c291-77e18f2da783","27601739189394","guid","100","CRDB BANK PLC","HARDWARE","",,"5yr, 7mo, 7d","Active","ProSupport","February 01, 2026","273343404","7.0.320-27377804","September 30, 2027","DAR ES SALAAM","Tanzania, United Republic of"
"ELMAPL082221XB",,"Secure Connect Gateway - Virtual Edition",,"Installed","Dell Technologies","Not Connected","2025-04-16 08:21:50","OTHER","6mo, 5d",,"27601739189394",,"","CRDB BANK PLC","SOFTWARE","",,"3yr, 1mo, 28d","Active","ProSupport For Software","January 01, 2031","Not Available",,,"DAR ES SALAAM","Tanzania, United Republic of"
"ELMDPA032289VP",,"Data Protection Advisor",,"Installed","Dell Technologies","Not Configured",,"OTHER",,,"27601739189394",,,"CRDB BANK PLC","SOFTWARE","",,"3yr, 6mo, 21d","Active","ProSupport For Software","February 01, 2026","310905167",,,"DAR ES SALAAM","Tanzania, United Republic of"
