"ASSETS","IMPACT","ADVISORY ID","TITLE","STATUS","STATUS UPDATED BY","ARTICLE AGE"
3,"Critical","DSA-2025-346","Security Update for Dell PowerProtect Cyber Recovery Multiple Third-Party Component Vulnerabilities","New",,"36 days"
4,"Critical","DSA-2025-309","Security Update for Dell NetWorker Apache Tomcat Vulnerabilities","New",,"43 days"
2,"Critical","DSA-2025-339","Security Update for Dell Avamar Data Store Gen5A Multiple Third-Party Component Vulnerabilities","New",,"50 days"
66,"Critical","DSA-2025-317","Security Update for Dell VxRail for Multiple Third-Party Component Vulnerabilities","New",,"64 days"
55,"Critical","DSA-2025-308","Security Update for Dell RecoverPoint for Virtual Machines Multiple Third-Party Component Vulnerabilities","New",,"64 days"
4,"Critical","DSA-2025-263","Security Update for Dell NetWorker OpenSSL Vulnerabilities","New",,"82 days"
2,"Critical",," DSA-2025-159: Security Update for Dell PowerProtect Data Domain Multiple Vulnerabilities","New",,"82 days"
13,"Critical","DSA-2025-293","Security update for Dell Avamar, Dell Networker Virtual Edition (NVE) and Dell PowerProtect DP Series Appliance / Dell Integrated Data Protection Appliance (IDPA) Multiple Third-Party Vulnerabilities","New",,"82 days"
5,"Critical","DSA-2025-195","Security Update for Dell Data Protection Central Multiple Third-Party Component Vulnerabilities","New",,"91 days"
9,"Critical","DSA-2025-271","Security update for Dell Avamar and Dell Avamar Virtual Edition Multiple Vulnerabilities","New",,"92 days"
5,"Critical","DSA-2025-286","Security Update for Dell Data Protection Central Multiple Third-Party Component Vulnerabilities","New",,"97 days"
10,"Critical","DSA-2025-276","Security Update for Dell Data Protection Advisor for Multiple Third-Party Component Vulnerabilities","New",,"110 days"
4,"Critical","DSA-2025-269","Security Update for Dell NetWorker Multiple Third-party Component Vulnerabilities","New",,"112 days"
4,"Critical","DSA-2025-264","Security Update for Dell CloudBoost Virtual Appliance Multiple Third-Party Component Vulnerabilities","New",,"113 days"
4,"Critical","DSA-2025-234","Security Update for Dell NetWorker Multiple Third-Party Component Vulnerabilities","New",,"113 days"
4,"Critical","DSA-2025-258","Security Update for Dell NetWorker Multiple Third-Party Component Vulnerabilities","New",,"113 days"
3,"Critical","DSA-2025-267","Security Update for Dell PowerProtect Cyber Recovery Multiple Third-Party Component Vulnerabilities","New",,"117 days"
1,"Critical","DSA-2025-248","Dell Storage Resource Manager (SRM) and Dell Storage Monitoring and Reporting (SMR) Security Update for Multiple Third-Party Component Vulnerabilities","New",,"117 days"
4,"Critical","DSA-2025-260","Dell Secure Connect Gateway Security Update for Multiple Third-Party Component Vulnerabilities","New",,"117 days"
13,"Critical","DSA-2025-213","Security update for Dell Avamar, Dell Networker Virtual Edition (NVE) and Dell PowerProtect DP Series Appliance / Dell Integrated Data Protection Appliance (IDPA) Multiple Third-Party Vulnerabilities","New",,"144 days"
4,"Critical","DSA-2025-220","Security Update for Dell NetWorker Runtime Environment (NRE) Third-Party Component Vulnerabilities","New",,"147 days"
55,"Critical","DSA-2025-202","Security Update for Dell RecoverPoint for Virtual Machines Multiple Third-Party Component Vulnerabilities","New",,"160 days"
1,"Critical","DSA-2025-063","Security Update for CyberSense for Dell PowerProtect Cyber Recovery Multiple Third-Party Component Vulnerabilities","New",,"188 days"
1,"Critical","DSA-2025-113","Security Update for Dell PowerProtect Cyber Recovery","New",,"195 days"
2,"Critical","DSA-2025-167","Security Update for Dell Avamar Data Store Gen5A Multiple Third-Party Component Vulnerabilities","New",,"197 days"
5,"Critical","DSA-2025-146","Security Update for Dell iDRAC9 Vulnerabilities","New",,"203 days"
1,"Critical","DSA-2025-090","Security Update for Dell PowerProtect Cyber Recovery","New",,"208 days"
1,"Critical","DSA-2025-090","Security Update for Dell PowerProtect Cyber Recovery","New",,"208 days"
1,"Critical","DSA-2025-141","Dell Storage Resource Manager (SRM) and Dell Storage Monitoring and Reporting (SMR) Security Update for Multiple Third-Party Component Vulnerabilities","New",,"208 days"
1,"Critical","DSA-2025-141","Dell Storage Resource Manager (SRM) and Dell Storage Monitoring and Reporting (SMR) Security Update for Multiple Third-Party Component Vulnerabilities","New",,"208 days"
8,"Critical","DSA-2025-116","Security Update for Dell Unity, Dell UnityVSA and Dell Unity XT Security Update for Multiple Vulnerabilities","New",,"208 days"
8,"Critical","DSA-2025-116","Security Update for Dell Unity, Dell UnityVSA and Dell Unity XT Security Update for Multiple Vulnerabilities","New",,"208 days"
5,"Critical","DSA-2025-138","Security Update for Dell Data Protection Central for Third-Party Component Vulnerabilities","New",,"215 days"
66,"Critical","DSA-2025-115","Security Update for Dell VxRail for Multiple Third-Party Component Vulnerabilities","New",,"222 days"
4,"Critical","DSA-2025-104","Dell Secure Connect Gateway Security Update for Multiple Vulnerabilities","New",,"231 days"
4,"Critical","DSA-2025-109","Security Update for Dell Data Protection Search for Multiple Component Vulnerabilities","New",,"232 days"
4,"Critical","DSA-2025-089","Security Update for Dell Secure Connect Gateway Policy Manager Multiple Third-Party Component Vulnerabilities","New",,"238 days"
55,"Critical","DSA-2025-101","DSA-2025-101 : Security Update for Dell RecoverPoint for Virtual Machines Multiple Component Vulnerabilities","New",,"243 days"
13,"Critical","DSA-2025-081","DSA-2025-081 : Security update for Dell Avamar, Dell Networker Virtual Edition (NVE) and Dell PowerProtect DP Series Appliance / Dell Integrated Data Protection Appliance (IDPA) Security Update for Multiple Vulnerabilities.","New",,"253 days"
10,"Critical","DSA-2025-075","DSA-2025-075 : Security Update for Dell Data Protection Advisor for Multiple Component Vulnerabilities.","New",,"257 days"
9,"Critical","DSA-2025-071","Security update for Dell Avamar for Multiple Component Vulnerabilities.","New",,"258 days"
5,"Critical","DSA-2025-055","Security Update for Dell Data Protection Central for Third-Party Component Vulnerabilities","New",,"263 days"
4,"Critical","DSA-2025-064","DSA-2025-064 : Security Update for Dell NetWorker, NetWorker Virtual Edition and NetWorker Management Console Multiple Component Vulnerabilities","New",,"264 days"
1,"Critical","DSA-2024-479","Dell Storage Resource Manager (SRM) and Dell Storage Monitoring and Reporting (SMR) Security Update for Multiple Third-Party Component Vulnerabilities","New",,"309 days"
3,"Critical","DSA-2024-467","Security Update for Dell Connectrix B-Series Component Vulnerabilities","New",,"309 days"
4,"Critical","DSA-2024-451","Security Update for Dell NetWorker for libxml2 2.9.0 vulnerabilities","New",,"322 days"
1,"Critical","DSA-2024-435","Security Update for Dell PowerProtect Cyber Recovery Multiple Third-Party Vulnerabilities","New",,"342 days"
4,"Critical","DSA-2024-251","Security Update for Dell NetWorker for libxml2 2.9.0 vulnerabilities","New",,"344 days"
16,"Critical","DSA-2024-430","Security Update for Dell VxRail 7.0.532 Multiple Third-Party Component Vulnerabilities","New",,"349 days"
